범죄대분류,범죄중분류,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
강력범죄,살인기수,103,89,1,52,0,0,0,0,3,0,19,20,4,1,1,1,1,0,8,0,3,1,0,7,3,10,1,0,0,0,5,1,1,76
강력범죄,살인미수등,88,74,2,112,0,3,3,0,3,3,10,36,30,3,0,0,2,0,12,0,4,2,1,4,1,5,0,0,0,1,10,0,0,175
강력범죄,강도,141,238,1,628,1,30,257,6,73,10,85,132,32,5,2,2,9,2,47,2,18,7,9,9,1,6,0,0,0,0,48,5,17,764
강력범죄,강간강제추행,1866,1963,8,2699,6,28,82,12,145,77,2271,1239,307,29,14,18,167,471,680,32,183,163,5,122,45,65,5,5,0,8,162,195,40,6558
강력범죄,방화,210,278,0,195,2,3,1,0,26,29,24,44,63,16,15,12,4,1,10,3,8,10,4,12,16,9,0,0,0,0,55,6,2,839
절도범죄,절도,14800,20401,128,40448,1493,3475,2975,2757,9568,3131,10346,13331,4823,2139,2834,1493,902,577,3735,574,1533,3295,5519,2165,1134,2500,67,26,0,125,9786,463,3415,120502
폭력범죄,상해,3375,3373,50,15615,42,133,189,33,583,499,816,5823,2073,464,277,37,193,47,1314,77,491,644,23,456,154,212,33,14,4,22,834,102,135,24205
폭력범죄,폭행,5078,5024,111,32285,52,291,656,54,996,680,1265,9186,2184,368,202,22,533,155,2850,84,780,715,46,661,144,154,58,25,2,23,1294,164,374,64030
폭력범죄,체포감금,63,75,2,175,0,0,2,0,7,3,45,38,61,4,1,1,2,0,25,2,2,7,0,64,10,4,0,0,0,0,15,1,2,265
폭력범죄,협박,466,599,5,628,3,11,17,3,62,52,44,256,413,24,8,0,3,1,38,3,19,42,3,59,16,10,2,0,2,1,39,1,9,1641
폭력범죄,약취유인,18,21,0,62,0,0,0,0,1,1,17,4,3,0,0,0,1,1,2,0,1,6,0,2,3,0,0,0,0,0,0,1,0,56
폭력범죄,폭력행위등,1895,2073,41,11881,10,81,125,20,303,319,445,4788,897,169,166,16,109,13,1017,40,498,692,21,146,136,153,20,5,1,23,594,92,120,19816
폭력범죄,공갈,206,214,1,1791,4,32,58,3,68,53,63,493,573,33,25,0,21,3,60,12,80,379,26,30,8,11,0,1,1,3,79,27,136,2204
폭력범죄,손괴,2105,2289,26,14548,7,94,150,14,702,430,675,2188,740,145,173,46,97,12,431,25,78,143,92,108,110,878,155,1,0,48,4500,60,38,29604
지능범죄,직무유기,3,13,1,31,0,0,0,0,3,1,1,9,274,4,5,0,0,0,0,0,1,13,1,3,2,8,0,0,3,1,3,0,0,116
지능범죄,직권남용,4,3,1,44,0,0,0,0,3,1,0,6,139,2,1,0,2,0,2,0,2,6,0,3,1,4,0,0,3,1,1,0,0,47
지능범죄,증수뢰,2,5,0,15,0,0,0,0,4,0,3,26,214,1,2,0,0,0,1,0,1,7,10,2,1,0,0,0,0,0,2,0,0,61
지능범죄,통화,5,2,2,96,1,90,90,12,141,123,13,48,269,0,0,0,10,1,20,1,26,0,5286,10,4,0,0,0,0,0,0,0,5,1948
지능범죄,문서인장,237,518,16,371,3,30,156,7,330,72,34,301,6862,28,48,1,41,2,61,82,5,28,282,104,19,17,36,7,0,3,13,1,28,4650
지능범죄,유가증권인지,3,4,1,12,1,5,0,0,5,2,7,15,197,3,4,0,0,0,3,4,0,0,56,1,0,0,0,0,0,0,0,0,1,184
지능범죄,사기,7927,16013,103,9172,155,397,703,112,6821,1553,1558,17744,55253,2090,2135,449,411,21,1609,175,163,361,11839,2554,324,543,84,34,10,44,377,2,3513,91117
지능범죄,횡령,565,718,27,2709,79,136,168,45,794,233,156,859,9229,616,361,92,187,138,612,43,132,148,1006,152,107,87,13,0,1,8,181,90,99,11482
지능범죄,배임,170,136,1,73,2,4,1,2,44,23,7,120,2011,113,30,10,4,0,1,1,0,18,124,11,22,35,2,0,0,3,4,0,8,1249
