범죄대분류,범죄중분류,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,83,101,0,28,0,1,0,0,2,0,22,15,2,2,0,0,0,0,8,0,4,0,0,6,2,10,5,0,0,0,10,1,0,54
강력범죄,살인미수등,79,88,1,128,0,1,0,0,3,3,7,34,17,3,1,2,2,0,5,0,5,1,1,8,2,5,1,0,0,0,15,1,0,145
강력범죄,강도,74,114,2,339,1,23,85,1,34,6,68,75,30,3,2,1,1,0,22,0,7,3,3,5,1,6,0,0,0,0,28,3,10,202
강력범죄,강간,1027,938,3,199,1,1,3,0,27,13,1319,269,66,7,3,6,1,1,135,4,24,25,0,11,12,24,0,0,0,2,47,56,5,926
강력범죄,유사강간,101,88,0,36,0,0,0,1,3,2,81,42,9,0,1,0,0,0,16,0,3,12,0,12,2,1,0,0,0,0,10,33,1,129
강력범죄,강제추행,887,851,12,3218,9,55,176,7,187,117,612,1906,414,46,11,7,293,786,957,53,222,276,13,220,38,34,1,11,7,3,96,66,46,4417
강력범죄,기타강간강제추행등,86,93,0,33,0,0,0,0,3,4,59,16,2,0,0,0,0,0,10,0,2,6,0,1,2,4,0,0,0,1,4,5,0,77
강력범죄,방화,208,272,0,202,1,0,2,1,12,14,19,43,46,10,10,10,2,0,4,0,19,4,2,9,14,9,2,0,0,1,34,4,1,547
절도범죄,절도,8774,13226,144,39355,1990,4890,4151,2104,9051,2311,4409,11738,3947,1075,1400,1163,1051,569,3084,416,1301,1337,4997,1592,1090,2338,83,11,5,41,8951,439,2365,63639
폭력범죄,상해,3966,3559,40,16759,24,102,188,16,452,299,523,5128,1608,419,277,33,131,24,233,42,496,480,17,412,102,211,35,9,10,9,825,54,77,13468
폭력범죄,폭행,12523,9647,120,58794,65,285,1052,35,1031,509,952,10941,2735,482,342,37,446,237,1182,96,1175,554,72,1019,185,187,50,23,26,7,2319,101,325,58249
폭력범죄,체포감금,139,110,9,311,0,2,2,0,12,2,60,37,54,4,1,2,1,0,82,1,1,8,1,53,7,3,1,0,1,0,20,1,1,392
폭력범죄,협박,1841,1878,262,4483,6,39,97,4,152,60,98,745,608,52,31,5,14,10,55,3,63,64,8,132,35,47,2,3,6,2,158,2,14,4891
