범죄대분류,범죄중분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,111,64,0,30,0,0,0,0,5,0,17,11,4,1,0,0,1,0,3,0,0,0,0,18,0,11,2,0,0,1,4,0,1,13
강력범죄,살인미수등,116,110,0,114,0,0,3,0,1,1,10,38,9,4,1,0,2,0,8,0,9,1,0,7,1,6,1,0,0,0,13,0,2,25
강력범죄,강도,106,89,1,221,0,10,73,3,29,8,79,53,21,1,0,3,4,1,13,0,7,0,4,6,1,7,0,0,0,0,9,1,5,43
강력범죄,강간,1432,999,0,158,1,1,7,0,27,21,1687,297,42,5,2,4,0,0,135,4,25,16,0,15,14,8,0,1,0,1,37,59,2,310
강력범죄,유사강간,209,134,0,45,1,1,0,0,7,5,153,81,11,1,0,0,1,0,20,1,6,14,0,10,0,1,0,1,3,0,6,19,1,51
강력범죄,강제추행,1477,934,17,3108,25,92,275,19,399,210,1039,3682,456,52,17,11,420,876,1285,107,239,338,12,327,61,27,3,12,9,0,114,70,59,1348
강력범죄,기타 강간_강제추행등,88,96,0,15,0,1,0,0,6,1,49,12,0,0,0,1,0,1,3,0,5,6,0,2,3,4,0,0,0,0,2,8,1,21
강력범죄,방화,353,299,0,241,1,0,2,2,20,27,48,59,47,19,6,6,4,1,3,3,10,9,2,12,7,29,1,0,0,5,40,11,2,93
절도범죄,절도범죄,14344,11448,181,45539,3187,7673,5853,2693,14506,4677,6140,15699,3230,1064,1604,1321,1775,596,4073,760,2052,1774,4659,1762,1026,3264,67,17,2,82,9796,1083,3026,11984
폭력범죄,상해,5082,3557,52,12696,21,108,191,30,431,418,704,6539,1331,336,253,33,162,54,345,47,366,527,22,402,116,138,25,10,9,7,817,77,94,1858
폭력범죄,폭행,25179,15290,182,58944,125,565,1679,114,1919,1695,2188,22138,3632,705,596,88,1156,562,3267,209,1471,875,105,1664,392,215,61,51,30,14,3276,287,506,8017
폭력범죄,체포_감금,234,149,6,259,1,0,4,1,8,8,111,67,69,4,0,2,5,1,128,2,5,8,1,35,6,2,0,0,0,0,16,7,2,102
폭력범죄,협박,4431,3384,101,6367,16,75,196,6,246,152,207,1533,797,67,60,10,42,16,133,10,102,115,28,176,45,48,12,3,4,2,262,7,33,2336
폭력범죄,약취_유인,41,26,0,102,0,1,0,0,2,0,11,8,3,0,0,0,3,0,3,0,5,16,1,3,1,0,1,0,0,0,2,2,0,19
폭력범죄,폭력행위등,579,349,3,3923,1,10,32,1,97,121,198,1350,257,35,54,1,28,4,35,6,155,177,5,40,72,31,3,6,0,2,207,45,22,501
폭력범죄,공갈,255,353,2,798,1,5,44,3,85,51,64,409,352,13,16,0,9,3,25,2,42,75,28,31,7,7,0,4,2,1,31,5,61,2063
폭력범죄,손괴,7079,4787,39,23646,27,131,302,28,995,914,1501,3981,815,188,272,89,163,37,213,40,153,169,118,171,195,1412,84,0,3,35,7369,150,178,2862
지능범죄,직무유기,8,8,1,58,0,0,0,0,3,1,0,3,330,5,3,0,0,0,0,0,3,9,0,2,0,5,1,1,5,0,2,0,0,142
지능범죄,직권남용,9,11,0,96,0,0,0,0,1,1,1,9,354,0,0,1,3,0,1,1,4,12,4,8,0,4,0,1,2,0,8,1,0,142
지능범죄,증수뢰,2,2,0,15,0,0,0,0,2,2,2,25,109,3,2,0,0,0,0,2,1,17,3,3,0,1,0,1,0,0,2,0,0,66
지능범죄,통화,4,2,1,47,2,22,39,3,53,32,6,27,30,0,0,0,5,0,3,0,2,0,547,5,2,0,1,0,0,0,0,0,1,146
지능범죄,문서_인장,237,294,18,667,4,27,230,9,321,97,37,440,4704,31,48,0,20,1,5,5,12,31,179,83,30,15,34,10,2,0,89,0,22,3641
지능범죄,유가증권인지,2,2,0,5,0,1,2,0,12,3,2,1,44,0,1,0,1,0,0,0,2,0,11,0,0,0,0,0,0,0,2,0,0,49
지능범죄,사기,10537,18015,865,23413,129,486,923,68,5632,1878,1587,22920,43820,1235,2243,137,735,54,1444,250,196,268,10609,1791,234,414,148,36,13,9,406,1,749,153227
지능범죄,횡령,1657,879,130,21192,396,578,930,215,1341,731,380,2236,5904,326,286,91,2085,835,3848,285,1159,337,908,399,88,121,11,5,1,8,972,1309,294,8571
지능범죄,배임,173,96,2,127,9,6,3,2,55,21,15,86,1803,124,32,3,1,0,4,4,4,23,72,15,15,19,5,0,0,0,2,0,4,1841
풍속범죄,성풍속범죄,1282,862,6,2362,24,68,118,18,207,113,691,343,364,5,2,1,738,673,334,13,191,245,5,54,11,16,0,2,1,1,51,1150,109,3085
풍속범죄,도박범죄,411,898,0,95,1,15,4,1,170,79,118,506,1698,18,0,22,4,1,3,19,57,0,2,1,1,17,0,15,0,0,9,0,215,3628
특별경제범죄,특별경제범죄,1411,1370,38,5251,83,430,1384,61,2321,991,749,9263,8625,503,339,28,226,34,353,59,77,192,1918,907,96,134,14,6,0,6,234,4,152,14141
마약범죄,마약범죄,836,1674,16,1774,1,2,25,0,77,30,818,221,209,42,2,5,59,5,144,4,26,3,198,195,6,238,2,1,1,2,110,35,16,1261
보건범죄,보건범죄,1021,332,4,746,2,92,29,3,948,594,165,3325,1054,155,2,16,6,0,4,29,16,8,2,1544,3,53,0,4,0,3,26,0,21,2363
환경범죄,환경범죄,8,35,4,520,0,0,0,0,44,9,2,190,173,818,448,31,5,0,20,9,4,2,0,21,2,326,324,1,0,27,7,0,0,847
교통범죄,교통범죄,104,27,5163,369771,0,2,6,2,42,91,5,10,76,28,18,5,9,1,91,0,10,11,0,7,1,44,125,0,0,3,768,1,0,933
노동범죄,노동범죄,3,12,0,40,0,0,2,0,4,2,5,127,126,14,11,0,1,0,7,0,0,3,0,3,0,8,460,0,0,0,0,0,0,147
안보범죄,안보범죄,6,8,0,33,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,91
선거범죄,선거범죄,7,79,0,85,0,0,0,0,4,2,0,53,164,1,0,1,0,0,4,1,4,2,16,6,5,3,0,0,0,0,4,0,0,170
병역범죄,병역범죄,1373,2441,0,463,1,0,0,0,12,5,33,4,1123,6,0,0,3,3,0,3,54,15,1,6,0,8,0,1941,0,8,1,0,0,5208
기타범죄,기타범죄,16672,15780,930,42567,96,819,1999,59,3559,1818,2991,18298,26264,2486,1552,536,2059,198,3299,325,814,1881,407,2248,822,3240,18902,137,24,122,1662,197,1339,66066
