범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,45,26,9,23,10,4,9,2,3,0,1,2,2,0,1,3,2,4,7,7,2,2,0,2,0,2,1,5,0,1,1,2,4,2,3,6,2,1,1,0,3,3,2,1,8,1,0,0,1,1,1,1,2,3,4,0,0,1,5,1,1,0,2,0,4,0,0,3,0,1,0,0,0,1,5,2,4,0,1,2,4,4,0,3,5,0,32
강력범죄,살인미수등,97,27,21,21,8,11,2,3,10,0,1,4,2,3,1,4,0,8,10,9,7,6,3,4,3,3,4,7,2,8,1,7,5,2,1,10,0,0,1,1,0,0,0,2,13,1,0,0,4,0,1,0,7,5,1,0,3,4,9,2,1,2,2,4,5,3,4,3,1,1,1,0,1,0,8,3,3,4,1,3,2,18,3,2,6,2,36
강력범죄,강도,139,86,44,37,27,51,26,5,7,0,7,3,5,0,4,3,2,20,16,20,10,10,3,3,0,0,9,1,2,10,0,5,14,6,0,5,3,0,2,1,2,3,0,4,15,2,0,1,1,6,1,0,7,19,3,1,3,6,11,0,3,1,10,2,3,4,7,7,4,0,0,1,2,2,6,3,10,2,3,4,5,19,3,1,9,4,35
강력범죄,강간,1159,323,246,362,197,175,108,25,77,1,20,19,18,18,25,37,12,83,99,136,48,85,22,77,17,11,21,52,13,41,23,31,54,22,8,27,27,11,5,14,38,16,5,14,90,18,2,15,19,6,14,14,36,91,24,11,5,21,79,12,22,12,44,33,25,32,21,40,17,2,6,14,8,10,48,30,31,12,7,29,31,66,8,25,78,10,353
강력범죄,유사강간,180,46,29,44,24,20,11,4,14,1,6,3,0,3,2,8,2,16,15,20,4,16,1,2,3,0,3,14,0,5,0,1,7,2,0,7,4,1,1,4,6,5,1,2,13,2,0,4,4,2,1,0,5,15,6,0,0,5,15,1,2,3,7,4,5,7,4,3,1,2,3,2,1,0,6,12,4,1,0,2,5,19,0,4,14,1,54
강력범죄,강제추행,5002,1083,693,1160,481,532,301,61,260,17,103,61,81,62,83,165,34,298,319,399,167,281,48,174,50,44,53,197,23,167,73,102,157,42,44,143,94,32,11,26,106,72,11,45,260,63,4,26,25,38,31,40,97,179,67,21,19,64,208,15,40,24,88,85,77,66,51,92,30,17,24,41,18,19,114,73,124,21,23,60,85,218,31,64,193,24,837
강력범죄,기타강간강제추행등,59,13,19,19,18,9,8,2,5,1,0,2,1,0,1,0,2,5,4,11,2,6,1,3,2,1,1,3,1,4,4,3,2,1,0,0,1,0,2,0,3,1,0,1,4,3,0,1,0,1,1,5,0,5,1,2,1,2,2,3,3,0,6,6,3,3,5,4,0,2,3,3,0,1,3,5,4,1,0,3,0,6,1,3,4,1,34
강력범죄,방화,293,108,69,77,27,46,31,4,24,1,6,9,0,3,7,21,8,26,17,35,14,21,5,12,10,5,5,23,1,19,8,11,25,12,4,14,7,1,3,2,10,7,1,7,29,4,0,6,10,8,5,6,11,26,14,3,1,10,13,2,2,2,6,8,8,10,7,7,7,5,1,1,1,2,6,8,16,6,4,9,7,24,214,8,13,0,122
절도범죄,절도범죄,39182,14373,8169,9473,4832,5540,3349,588,2262,175,1027,812,833,658,1010,1274,329,3715,3126,5381,1714,3025,620,1662,475,414,870,2201,216,1723,781,1112,2060,563,546,1935,658,168,224,228,1065,878,77,308,3333,769,60,371,460,573,278,595,1164,3252,1025,161,248,979,2212,311,321,305,994,740,809,981,832,1360,366,142,245,408,194,364,1702,795,2408,246,206,984,1723,3377,412,858,2124,49,8442
폭력범죄,상해,5119,3709,2520,1839,1039,1012,1127,130,480,27,164,149,144,104,159,327,104,470,606,683,286,424,160,345,146,89,174,313,49,238,212,320,591,145,118,427,241,150,106,137,324,288,68,112,697,186,18,136,112,147,105,232,335,534,279,70,74,215,583,109,179,81,270,314,264,214,215,277,143,76,98,187,89,74,520,305,542,128,164,286,328,986,270,331,559,26,3633
폭력범죄,폭행,34321,10409,6821,11711,5004,5713,3757,301,3056,122,980,1122,967,712,1181,1694,331,2859,3007,4658,1551,2664,628,1877,797,337,896,1919,280,2134,892,1025,2182,518,500,1896,834,271,287,423,1143,653,120,281,2548,408,36,190,295,330,155,494,1052,2094,824,232,189,954,1647,235,357,214,1009,737,1216,818,514,884,306,160,149,404,166,252,1234,508,1641,144,253,628,820,2882,376,588,2041,46,6403
폭력범죄,체포감금,202,78,53,117,38,36,19,2,23,0,5,9,2,3,7,21,1,18,15,33,7,24,6,15,4,5,5,20,2,23,9,15,16,3,7,11,3,1,1,1,10,2,1,6,32,3,0,3,1,4,0,2,13,33,8,1,2,6,12,2,5,4,8,9,5,5,5,8,3,0,1,0,4,0,11,5,7,3,2,7,3,23,2,3,19,0,64
폭력범죄,협박,3089,1104,741,1085,368,602,299,69,319,14,95,152,86,80,113,176,37,330,375,551,201,397,52,226,83,56,108,245,39,202,105,144,273,44,55,218,64,36,29,34,124,87,6,34,309,49,6,54,38,43,21,61,127,236,80,20,24,88,167,33,69,44,128,86,114,89,41,86,39,23,36,51,25,34,87,89,143,38,40,89,92,303,45,86,284,40,1096
폭력범죄,약취유인,48,11,5,15,3,2,2,0,4,0,3,1,2,3,1,0,1,4,3,4,3,0,0,3,1,0,2,5,0,1,1,2,4,0,0,0,0,0,1,1,1,1,0,0,3,1,0,1,0,1,0,0,3,1,1,0,0,1,1,1,3,0,1,1,1,0,0,2,1,0,0,0,0,0,3,1,3,1,0,0,0,4,0,0,3,1,10
폭력범죄,폭력행위등,1697,696,397,693,300,202,248,22,158,3,54,38,51,38,53,91,30,175,158,263,76,198,19,90,24,19,66,74,12,79,63,55,124,47,27,117,40,29,14,25,61,53,11,14,126,40,5,17,14,32,19,36,76,127,73,12,17,81,143,28,23,15,67,55,59,41,43,66,27,7,9,24,17,15,110,38,73,13,21,47,45,204,37,53,103,7,435
폭력범죄,공갈,769,373,143,320,99,142,81,11,81,2,24,17,18,7,21,54,16,99,61,125,39,47,11,37,13,8,9,40,5,23,15,40,28,16,8,70,12,3,9,6,22,18,1,10,71,12,0,7,3,10,10,26,14,68,23,2,5,8,41,5,4,15,21,26,22,17,10,56,9,2,5,11,10,13,46,16,69,8,3,18,27,63,12,20,54,50,231
폭력범죄,손괴,10845,3527,2694,3570,1415,1497,1264,176,903,43,301,378,281,252,404,619,154,1181,1002,1754,685,1037,253,652,259,127,291,725,113,596,318,503,901,214,229,720,333,119,91,133,482,331,59,143,1149,248,19,92,121,191,97,263,355,929,321,75,68,337,443,89,137,62,385,303,371,334,263,405,164,67,84,157,120,99,578,202,565,96,122,249,312,963,163,387,861,10,2854
지능범죄,직무유기,147,44,22,20,15,13,9,16,9,3,2,1,1,0,2,5,1,2,7,13,14,8,5,2,2,6,1,3,1,6,0,1,7,5,1,6,2,0,0,1,7,6,0,2,2,2,0,5,0,4,2,0,1,8,4,1,1,1,10,5,0,0,2,3,4,2,5,1,1,0,1,4,0,0,4,0,3,1,0,0,2,7,3,2,2,2,68
지능범죄,직권남용,191,46,18,18,13,22,10,6,6,6,1,6,3,2,1,5,0,2,7,11,3,9,3,2,0,2,2,4,3,2,2,3,3,2,2,7,1,2,0,2,1,7,0,0,3,3,0,6,2,0,0,1,0,9,6,0,0,1,10,4,2,3,7,1,0,1,1,2,2,1,3,4,0,2,3,2,1,0,0,2,3,11,3,3,6,2,57
지능범죄,증수뢰,62,66,6,14,12,13,4,1,4,1,0,2,0,0,2,1,0,5,3,4,3,0,0,1,0,1,0,3,1,1,0,1,2,2,0,3,0,0,0,0,1,2,1,0,7,1,3,1,2,1,0,0,3,5,2,0,1,0,2,1,3,1,5,2,1,1,0,3,0,1,0,3,0,2,2,1,0,1,5,1,1,6,0,1,7,2,47
지능범죄,통화,450,47,44,96,35,57,5,3,28,1,3,2,9,1,7,8,0,16,35,26,8,12,6,28,3,3,1,21,2,8,6,9,14,4,6,8,0,0,0,2,7,6,0,4,7,6,0,4,4,3,1,4,3,7,2,0,1,6,4,0,1,0,5,1,4,4,6,7,0,0,1,3,1,0,3,0,2,0,1,2,4,2,0,1,7,4,52
지능범죄,문서인장,2520,830,528,540,311,351,261,40,187,6,41,51,26,26,61,75,37,116,161,213,89,154,31,104,55,21,37,140,17,106,41,79,285,34,18,92,40,24,10,13,47,55,2,23,211,30,3,28,30,37,26,38,44,148,83,13,5,64,135,23,19,24,61,44,47,35,34,56,26,14,12,34,11,26,71,53,86,17,16,64,53,168,492,27,672,124,1188
지능범죄,유가증권인지,61,14,52,9,0,2,7,0,5,0,0,0,0,0,0,1,0,0,0,5,2,4,0,2,0,1,1,2,0,1,1,2,0,0,0,2,0,0,0,1,1,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,5
