범죄대분류,범죄중분류,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄 ,살인기수,97,101,0,36,0,0,1,0,1,1,15,9,11,4,0,0,2,0,5,0,5,0,0,6,2,11,2,0,0,0,4,2,0,27
강력범죄 ,살인미수등,104,130,2,143,0,3,1,0,11,1,18,64,22,3,2,0,2,0,16,1,4,2,0,6,1,3,1,0,0,2,8,0,0,37
강력범죄 ,강도,169,222,1,630,1,41,246,4,69,19,101,142,50,1,2,3,3,0,44,3,12,6,13,13,11,8,0,0,3,1,45,10,11,96
강력범죄 ,강간,1070,1179,3,340,0,1,8,0,39,16,1869,314,79,5,4,5,2,0,140,4,41,28,1,24,13,40,1,0,1,3,70,72,6,375
강력범죄 ,유사강간,21,24,0,10,0,1,0,0,1,0,20,9,4,0,0,2,0,0,6,1,3,2,0,2,2,1,0,0,0,0,3,5,2,13
강력범죄 ,강제추행,1098,940,7,4030,11,87,183,14,264,137,1204,1774,370,52,9,10,315,613,1155,54,224,187,15,190,40,37,1,4,2,1,139,139,54,1418
강력범죄 ,기타강간강제추행,425,474,0,92,0,1,5,0,9,3,299,56,16,2,0,0,3,0,40,3,16,20,0,18,4,9,0,0,0,2,11,40,1,98
강력범죄 ,방화,379,359,0,294,3,8,4,1,40,51,54,84,49,31,9,23,7,1,12,1,20,16,3,7,18,17,5,0,0,2,70,22,0,153
절도범죄,절도,22706,30221,179,65598,2409,6400,5083,2992,16865,5237,15334,22647,6689,2658,4277,2199,1663,796,5953,921,2636,4251,7967,3172,1678,3721,54,20,1,169,15992,1037,5457,21361
폭력범죄 ,상해,4525,4475,65,22452,51,227,351,37,791,631,1048,8101,2312,576,353,44,228,59,2056,86,600,606,52,626,187,231,19,9,2,15,1201,126,178,3564
폭력범죄 ,폭행,10220,9934,159,58072,83,579,1212,104,1685,1256,2141,16526,3456,535,401,45,941,320,5439,185,1286,700,80,1190,219,190,47,13,5,20,2233,255,663,8505
폭력범죄 ,체포감금,93,104,6,256,0,3,3,2,17,7,62,47,59,5,1,3,1,0,48,0,1,9,3,64,9,4,0,1,0,1,9,2,1,108
폭력범죄 ,협박,660,823,11,928,12,16,36,5,83,40,66,300,424,31,20,2,10,5,64,5,17,47,10,62,19,17,2,2,0,1,45,2,13,883
폭력범죄 ,약취유인,21,29,0,62,0,0,1,0,1,0,14,2,5,1,0,0,7,0,3,0,5,11,0,3,0,0,0,0,0,0,3,2,2,16
폭력범죄 ,폭력행위등,2943,3307,44,17402,19,146,243,12,461,424,616,7390,1088,253,209,20,106,23,1830,54,572,443,29,211,166,167,28,8,1,12,804,132,122,2419
폭력범죄 ,공갈,299,284,2,1605,3,13,53,3,59,50,98,395,266,11,23,0,21,4,29,9,80,163,33,29,6,10,0,0,1,0,67,19,108,567
폭력범죄 ,손괴,3644,3756,30,26615,16,177,273,21,1321,796,1220,3920,1112,185,218,79,157,25,751,53,126,198,173,185,177,1153,72,2,0,46,8120,92,77,3023
지능범죄 ,직무유기,9,16,0,39,0,0,1,0,1,7,1,3,320,4,2,0,0,0,3,1,2,15,3,8,0,17,1,2,4,0,0,0,0,96
