범죄대분류,범죄중분류,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,84,101,0,43,0,1,1,0,1,0,16,11,5,1,0,0,0,0,6,0,2,1,0,9,1,1,3,0,0,0,6,0,0,72
강력범죄,살인미수등,92,88,0,134,0,2,0,0,7,4,8,31,16,1,0,1,1,0,9,0,7,2,0,5,3,4,2,0,0,0,11,2,0,134
강력범죄,강도,97,143,3,408,1,11,157,3,31,7,109,85,32,5,2,1,2,1,23,0,7,2,16,2,4,12,0,0,0,0,32,4,5,241
강력범죄,강간,908,994,1,243,0,1,5,0,35,19,1364,255,62,3,0,5,2,0,124,1,30,28,1,18,22,26,0,0,0,2,57,46,6,893
강력범죄,유사강간,73,80,1,42,0,2,0,0,3,4,71,42,13,0,1,0,1,0,12,0,6,19,0,5,1,6,0,0,0,0,7,18,0,111
강력범죄,강제추행,900,842,18,3121,15,56,157,5,152,89,656,1636,396,32,9,7,270,788,793,51,222,249,8,208,46,36,1,7,7,1,106,72,39,4064
강력범죄,기타강간강제추행등,97,164,0,37,0,1,0,0,4,1,82,13,4,0,0,1,0,0,9,1,6,3,0,2,6,2,0,0,0,0,6,14,1,104
강력범죄,방화,253,291,0,204,0,2,3,2,18,12,30,46,52,20,4,18,8,1,0,0,17,6,6,17,10,10,3,0,0,2,30,2,1,605
절도범죄,절도,11042,15565,133,45307,1928,5080,4351,2170,8850,2475,5165,12370,5462,1715,1890,1344,1186,645,5414,473,1462,1664,5819,1646,1151,2522,116,17,1,38,10325,483,2592,85452
폭력범죄,상해,3564,3385,47,16716,41,102,194,16,395,341,497,4498,1727,442,251,30,128,21,246,31,499,471,24,482,144,190,32,13,10,6,811,53,80,12518
폭력범죄,폭행,10608,8753,135,54497,71,289,932,35,928,483,890,9849,2576,436,251,50,433,172,1108,79,1198,530,67,896,192,163,58,21,20,6,1971,66,282,51233
폭력범죄,체포감금,90,102,5,247,0,4,0,1,7,6,40,44,50,6,0,2,3,0,56,3,3,12,1,58,7,4,1,0,2,0,16,2,2,254
폭력범죄,협박,1199,1288,88,1870,3,18,52,4,104,53,67,417,535,46,13,2,11,2,43,5,38,42,9,79,18,32,4,4,6,0,104,0,12,3019
폭력범죄,약취유인,20,18,0,66,0,0,0,0,1,0,8,3,1,0,0,0,5,0,5,0,3,6,0,7,2,0,0,0,0,0,1,0,0,44
폭력범죄,폭력행위등,2374,2463,129,12838,5,43,137,2,207,209,296,3879,855,182,119,25,37,13,86,15,353,246,29,134,139,118,20,7,1,7,486,44,75,10113
폭력범죄,공갈,203,259,2,773,1,9,43,4,92,51,58,600,307,16,14,0,10,0,12,6,26,65,42,30,6,7,0,0,0,1,36,2,67,854
폭력범죄,손괴,3050,3004,27,22143,6,79,185,10,597,261,606,1987,798,129,155,65,75,13,65,27,128,103,79,107,114,1086,79,0,2,17,5786,36,47,18111
지능범죄,직무유기,8,11,0,43,0,0,0,0,1,1,1,4,304,3,3,0,1,1,0,3,3,11,1,2,1,6,2,1,5,0,1,0,0,90
지능범죄,직권남용,9,12,1,55,1,0,0,0,2,5,2,13,193,0,0,0,0,0,3,2,0,12,1,0,0,1,1,0,5,1,2,0,0,80
지능범죄,증수뢰,0,1,0,16,0,0,0,0,1,1,0,27,116,0,1,0,0,0,5,1,1,9,5,1,0,2,0,0,0,0,8,0,0,52
지능범죄,통화,4,9,2,62,0,34,71,1,52,26,4,18,46,0,0,0,7,0,7,2,1,0,953,1,0,0,0,0,0,0,2,0,2,518
지능범죄,문서인장,281,389,11,684,6,27,205,21,570,116,38,259,6420,50,37,3,20,0,9,38,11,46,272,90,41,29,250,6,1,2,38,0,31,4545
지능범죄,유가증권인지,4,8,0,5,1,2,3,0,5,2,1,10,103,2,1,0,1,0,0,0,1,0,38,0,0,0,0,0,0,0,1,0,0,94
지능범죄,사기,9629,17561,120,11521,144,438,1062,76,6940,1592,1506,16369,47382,1776,2222,143,559,41,508,111,349,328,10890,1698,281,561,510,26,18,35,344,2,1593,110958
지능범죄,횡령,892,1010,55,9982,166,281,661,68,1131,301,162,1181,8313,623,369,82,655,362,1332,86,546,219,922,195,106,113,14,8,1,8,495,313,168,15914
지능범죄,배임,238,118,0,91,3,5,5,2,71,40,5,113,1802,263,34,1,3,0,1,4,4,24,119,26,25,26,5,0,0,2,3,0,6,1250
풍속범죄,성풍속범죄,745,1073,4,2440,34,69,77,20,232,65,644,293,1266,1,1,0,1581,760,348,12,129,143,11,36,13,6,0,1,0,0,68,685,172,5290
풍속범죄,도박범죄,384,1083,1,137,1,6,8,0,110,108,182,543,1802,34,1,44,2,0,0,42,34,1,5,3,2,30,0,0,0,0,5,0,167,3537
특별경제범죄,특별경제범죄,2374,5509,23,4588,58,430,1152,44,2148,880,447,6918,12243,756,303,38,236,32,136,47,89,221,2478,661,87,100,7,6,0,8,146,5,399,43760
마약범죄,마약범죄,455,1155,11,1676,0,5,9,0,53,18,863,203,247,10,3,3,84,4,156,6,27,2,19,94,2,164,3,0,0,0,74,52,14,999
보건범죄,보건범죄,288,279,1,764,0,237,20,19,1320,601,485,2960,1455,263,4,87,4,2,469,4,27,6,4,1167,7,98,3,0,2,3,33,0,10,3980
환경범죄,환경범죄,1,23,1,272,0,0,0,0,37,9,34,67,110,699,177,10,11,0,25,0,1,1,0,41,0,224,543,0,0,11,3,0,0,655
교통범죄,교통범죄,124,41,2727,584632,0,3,5,0,45,102,10,11,191,16,20,3,16,0,47,0,14,9,0,16,4,63,118,2,0,4,1901,0,0,6541
노동범죄,노동범죄,4,3,0,108,0,0,3,0,4,4,4,167,529,42,23,0,2,0,2,1,0,2,1,6,0,2,6,0,0,0,1,0,0,231
