범죄대분류,범죄중분류, 서울 , 부산 , 대구 , 인천 , 광주 , 대전 , 울산 , 부천 , 수원 , 성남 , 전주 , 안양 , 청주 , 마산 , 창원 , 광명 , 포항 , 안산 , 진주 , 고양 , 제주 , 목포 , 의정부 , 익산 , 군산 , 구미 , 천안 , 여수 , 춘천 , 원주 , 평택 , 경주 , 김해 , 순천 , 군포 , 남양주 , 강릉 , 충주 , 안동 , 경산 , 아산 , 거제 , 김천 , 정읍 , 용인 , 시흥 , 파주 , 양산 , 이천 , 구리 , 서산 , 제천 , 논산 , 기타도시 , 도시이외 
강력범죄,살인기수,66,28,17,21,15,10,9,1,7,7,11,4,5,1,13,1,3,2,4,5,7,0,2,4,1,3,4,1,2,4,4,2,4,5,2,7,3,2,4,1,1,4,0,3,6,5,3,3,1,1,3,1,1,36,51
강력범죄,살인미수등,112,56,16,29,13,20,14,11,13,11,5,8,12,3,12,2,1,7,1,8,7,4,6,3,2,5,10,4,4,1,7,5,7,2,3,5,1,6,1,1,2,4,4,1,6,4,4,3,3,0,5,1,4,57,48
강력범죄,강도,569,295,102,135,102,100,37,49,74,28,24,30,48,5,52,9,31,41,18,34,35,16,25,13,18,28,31,13,13,15,27,12,28,13,10,16,2,11,5,8,15,5,5,12,21,34,11,13,8,13,9,8,9,181,121
강력범죄,강간강제추행,4916,1332,974,1227,861,523,373,413,548,377,265,221,271,9,333,109,128,356,85,323,264,104,222,143,88,131,290,116,88,151,152,96,141,100,118,135,88,64,64,94,87,83,34,33,201,204,129,84,82,78,58,43,39,1220,1002
강력범죄,방화,370,125,86,109,68,58,38,46,35,36,14,18,24,1,16,7,10,38,10,23,35,9,17,7,9,20,24,9,8,9,15,25,24,17,9,18,11,14,8,15,10,13,4,1,22,29,12,12,12,10,8,7,7,173,142
절도범죄,절도,61332,25494,16554,10394,12678,12568,6118,6714,6854,5300,3571,2556,4980,364,6540,1471,2752,4598,1837,3931,5053,1933,2216,2180,1104,2587,5252,1413,1357,2281,2918,1753,3645,1287,1232,1847,1379,1216,885,1499,1877,1361,539,484,3022,1610,1294,1504,769,1298,668,524,817,18734,16316
폭력범죄,상해,10742,6875,3851,2894,1544,1799,1538,732,1272,1230,529,686,723,77,1409,344,705,771,458,711,1078,530,339,300,368,584,771,416,587,656,553,449,572,374,180,375,427,272,286,298,456,486,157,159,526,362,313,369,221,233,230,199,185,5265,4876
폭력범죄,폭행,36209,6750,6493,7815,6051,1681,3139,3292,3017,2706,1700,1647,1939,119,2245,864,765,2403,581,2080,1639,1027,1733,732,686,688,1203,1038,552,1475,1134,401,1211,727,864,1407,667,341,393,548,401,375,201,229,1376,1545,918,588,579,859,186,183,59,8378,4707
폭력범죄,체포감금,155,78,30,36,24,19,10,17,28,23,19,11,14,0,18,5,6,12,7,10,15,6,8,5,9,7,20,11,10,9,15,2,6,4,0,7,4,4,6,8,6,4,1,4,12,9,7,3,8,2,1,3,1,59,78
폭력범죄,협박,1024,366,196,157,176,117,81,79,88,81,53,41,49,8,72,25,35,67,37,86,88,32,35,28,43,32,44,21,40,56,52,15,43,20,19,39,26,15,16,18,30,20,6,17,42,32,29,31,17,21,6,12,2,349,346
폭력범죄,약취유인,48,16,4,11,4,4,4,3,6,5,0,4,1,0,4,3,0,5,0,2,3,1,3,0,5,4,8,0,0,1,4,1,0,1,1,2,0,0,0,0,1,0,0,0,2,2,1,2,1,1,1,0,0,19,12
