범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타도시,도시이외
강력범죄,살인기수,56,21,17,16,12,12,13,6,4,7,6,0,2,7,1,6,9,7,4,5,1,2,4,2,5,6,3,1,2,1,3,2,4,1,8,1,2,0,3,3,1,0,2,4,4,4,1,0,2,2,1,2,33,51
강력범죄,살인미수등,100,50,17,34,7,17,10,6,12,5,3,7,12,14,2,5,3,5,7,13,3,7,1,3,0,11,1,1,4,7,5,5,0,0,1,3,2,0,4,4,4,1,1,4,8,6,4,4,1,5,5,4,51,52
강력범죄,강도,341,131,63,111,53,82,32,24,31,28,30,12,32,37,12,5,19,7,17,25,12,13,13,8,20,33,8,13,12,19,5,7,5,5,15,11,4,0,4,8,5,3,4,17,12,10,9,13,7,4,6,5,103,81
강력범죄,강간,1045,399,219,308,220,168,126,78,131,102,57,77,79,99,35,40,74,31,43,73,30,46,51,23,44,75,24,31,51,39,35,44,23,24,37,28,15,19,21,23,26,4,12,58,41,36,25,15,22,16,8,13,392,323
강력범죄,유사강간,99,35,12,17,18,10,7,6,11,16,3,4,3,5,2,1,7,2,4,9,2,2,2,2,4,4,1,0,0,11,1,2,0,2,1,2,2,0,0,0,0,1,0,2,5,3,4,1,0,1,2,1,26,20
강력범죄,강제추행,4132,1035,675,822,577,365,296,273,395,299,164,232,199,181,64,96,190,97,224,198,91,144,62,86,59,193,56,70,93,139,72,87,72,61,101,64,35,33,59,69,67,18,37,164,81,84,51,44,56,47,55,29,1000,718
강력범죄,기타강간강제추행등,181,80,70,58,22,29,14,18,12,14,18,10,8,11,5,10,10,9,5,33,8,4,9,7,5,13,4,3,6,7,8,4,2,6,1,8,6,3,6,5,4,1,9,19,13,1,4,8,3,7,4,5,88,93
강력범죄,방화,314,109,81,112,44,42,36,27,33,21,18,10,64,28,4,9,36,11,28,42,7,24,8,15,10,33,15,8,12,21,13,13,9,6,8,11,10,7,9,11,4,12,1,11,16,12,10,5,12,10,3,8,155,145
절도범죄,절도,59371,21898,14609,9737,10361,11453,5777,5682,6774,4551,3795,2179,4805,5519,1666,2532,4225,2265,3690,4980,1637,2600,1749,1311,2315,4412,1144,1109,1786,2820,1239,3784,1344,1287,1784,1074,1092,746,1408,1430,1313,571,489,2916,1874,1270,1274,734,1023,802,583,692,17551,13190
폭력범죄,상해,7985,5422,2955,2344,1186,1616,1349,579,892,852,467,399,821,1237,195,614,632,349,543,878,346,357,201,262,568,536,288,437,465,551,386,624,334,165,310,409,257,236,275,362,468,145,121,429,339,241,286,190,120,207,175,156,4638,4082
폭력범죄,폭행,35962,7821,5280,8300,5718,2457,3654,2747,3628,2666,1645,1596,2097,1991,1134,857,2276,659,1763,2196,801,1920,719,838,626,1385,810,644,1167,1489,354,1284,773,767,1456,428,268,249,472,687,366,200,277,1445,1334,1021,544,601,814,254,349,67,9060,5004
폭력범죄,체포감금,177,55,38,60,30,27,19,13,25,14,9,7,18,14,8,7,11,6,22,7,5,4,5,8,2,16,6,5,5,5,9,11,3,10,11,7,4,6,3,8,1,3,2,13,10,10,8,2,4,2,2,4,107,77
폭력범죄,협박,1149,507,230,211,168,152,102,63,112,100,45,44,55,84,36,38,66,25,87,158,28,51,18,35,32,57,21,42,38,49,22,52,47,11,74,22,20,24,23,30,18,10,15,54,41,34,34,25,18,15,10,4,433,348
