범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,45,22,14,20,11,7,10,2,5,0,1,0,1,1,6,6,1,5,2,5,1,2,3,1,3,0,3,3,1,3,1,0,3,2,0,3,1,0,0,3,1,0,0,0,4,1,0,0,3,2,0,0,2,3,3,0,2,8,4,1,0,1,0,1,2,2,2,3,0,1,0,1,0,1,3,2,2,1,0,1,2,8,0,1,7,1,24
강력범죄,살인미수등,89,42,27,28,5,11,9,1,6,1,0,1,0,3,4,8,1,10,2,11,2,8,2,4,2,0,0,6,0,2,1,5,5,8,0,11,2,1,0,0,0,5,0,3,10,4,0,0,4,3,1,1,5,10,2,1,1,3,8,0,1,2,3,3,0,1,1,2,2,0,2,1,2,0,2,2,0,2,3,3,2,10,3,3,9,2,42
강력범죄,강도,133,81,31,60,27,25,27,0,8,0,5,5,3,2,1,7,1,12,13,19,15,13,5,7,1,13,7,7,0,4,1,4,12,4,1,7,4,2,0,2,8,3,4,4,22,2,0,3,0,1,0,1,12,13,7,0,2,2,10,1,0,4,8,1,3,3,5,4,2,0,0,1,2,3,4,2,9,0,0,6,3,10,4,7,14,5,34
강력범죄,강간,1254,297,215,327,185,173,106,12,75,0,24,18,19,20,28,37,13,92,92,140,69,90,15,39,13,11,22,55,3,57,20,39,37,16,12,47,23,10,9,12,51,17,9,8,83,17,4,7,15,21,23,18,21,83,25,5,6,25,84,10,14,17,45,31,20,36,27,51,17,9,10,12,11,10,51,22,36,12,9,25,28,92,8,16,83,15,345
강력범죄,유사강간,171,48,39,46,24,30,22,1,9,0,6,3,1,5,3,3,0,11,8,23,10,16,2,7,2,1,6,11,3,9,4,9,7,3,3,9,4,0,2,0,11,5,2,6,10,3,1,4,0,0,2,1,3,7,1,3,0,2,8,1,3,2,6,3,1,8,2,7,2,2,2,2,0,1,5,5,8,1,0,4,8,11,2,4,3,2,57
강력범죄,강제추행,4981,1111,696,1181,453,492,308,49,248,18,93,66,84,55,87,160,45,349,295,404,145,261,53,162,56,47,86,205,26,158,85,91,154,47,48,147,76,25,16,20,121,78,15,38,260,50,2,24,16,37,36,48,86,190,98,16,21,71,218,29,37,26,105,88,65,66,63,92,30,18,27,37,22,34,108,58,116,22,23,61,74,257,34,74,216,23,807
강력범죄,기타강간강제추행등,52,15,11,14,6,16,15,1,4,0,3,2,2,2,1,5,1,2,7,4,7,4,0,2,1,1,1,2,1,6,0,2,3,2,0,1,0,0,0,0,0,2,0,1,7,3,1,1,0,2,1,4,4,4,1,1,1,1,4,2,2,1,2,3,2,0,3,3,0,3,0,3,0,2,7,2,4,0,1,2,3,6,4,3,6,2,25
강력범죄,방화,252,100,62,73,42,48,19,2,26,1,5,7,8,4,4,15,3,16,17,23,11,22,6,12,4,2,8,11,2,17,6,9,25,5,3,18,11,1,1,1,5,8,1,9,22,10,0,5,8,8,3,8,9,18,12,4,2,7,11,5,4,4,13,5,8,7,8,14,4,4,3,7,3,2,11,2,7,4,1,9,5,19,3,10,20,0,128
절도범죄,절도범죄,42224,14497,9249,10134,4922,5855,3215,849,2399,190,1061,764,831,654,977,1504,352,3706,3250,5180,1769,2971,651,1745,465,420,927,2345,277,1604,829,939,2185,523,737,2151,726,171,127,287,1302,879,90,386,3429,833,72,372,437,544,338,467,1298,3328,929,219,205,1095,2202,363,374,369,1162,782,921,1085,1023,1530,416,169,287,459,240,358,2002,822,2205,300,273,1278,1605,3699,466,907,2325,31,9419
폭력범죄,상해,4598,3450,2233,1634,1013,948,1027,143,390,23,193,142,143,98,178,255,69,393,612,629,296,452,147,289,133,88,165,249,51,250,149,265,556,157,78,414,254,120,91,105,329,281,58,101,693,165,21,130,130,172,112,193,277,510,263,62,61,184,458,95,173,54,293,320,298,215,233,300,109,79,103,160,129,80,501,288,484,140,165,291,319,964,267,283,494,27,3314
폭력범죄,폭행,32893,10915,6842,12212,5207,4723,3087,377,2808,123,998,1044,944,708,1077,1440,349,2944,2765,4643,1844,2917,681,1792,671,324,955,2022,269,2227,861,986,2356,501,581,2465,671,243,228,368,789,672,128,275,2291,396,40,175,218,315,190,454,990,1613,918,206,177,926,1707,229,339,206,950,842,1081,882,612,846,416,178,190,416,196,242,1308,675,1691,143,318,896,765,2763,374,501,1849,51,6697
폭력범죄,체포감금,192,59,62,117,52,33,37,0,16,1,10,6,8,6,6,19,0,14,21,22,10,19,5,8,4,4,7,22,1,19,3,14,27,8,3,28,10,1,1,1,8,5,4,6,21,2,0,0,1,4,3,0,11,23,5,0,2,12,8,4,3,5,7,5,8,9,8,11,4,3,0,3,3,1,9,5,19,0,7,7,3,15,1,1,25,2,84
폭력범죄,협박,3803,1450,921,1287,542,660,384,92,399,23,141,178,82,89,121,212,22,454,399,635,261,393,97,218,112,55,145,324,47,214,126,160,316,88,95,268,75,34,38,57,141,111,26,53,374,84,5,48,39,49,34,53,158,270,75,26,25,83,191,50,48,31,148,127,165,131,72,129,90,28,35,81,34,32,142,104,179,51,47,123,137,327,56,89,346,62,1296
폭력범죄,약취유인,60,16,2,11,4,5,2,1,13,0,2,0,0,0,1,4,2,6,2,4,5,5,0,3,2,2,3,6,1,3,1,4,3,2,2,4,2,0,2,0,4,1,0,0,6,1,0,0,1,0,1,1,2,2,0,0,0,1,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,1,7,0,2,3,1,18
폭력범죄,폭력행위등,1547,629,371,565,254,226,194,26,141,4,40,38,46,33,39,61,22,149,135,196,84,157,18,97,26,14,41,80,10,87,50,58,114,42,21,127,39,32,18,20,60,58,9,11,122,28,1,11,10,20,21,20,73,109,66,9,8,50,145,24,19,10,100,55,54,47,41,63,26,8,11,13,28,12,134,34,81,18,22,58,38,146,37,50,120,6,413
폭력범죄,공갈,959,343,161,366,110,142,75,13,61,3,14,42,15,17,24,60,15,114,66,139,51,58,11,85,7,18,28,71,4,28,11,31,50,12,9,53,24,3,12,14,26,27,2,7,95,19,2,9,9,4,10,19,20,45,26,4,2,18,69,15,15,8,18,17,30,12,18,74,27,7,2,12,19,12,48,16,98,5,6,33,18,102,12,24,62,130,275
폭력범죄,손괴,10636,3806,2795,3471,1501,1476,1256,221,980,36,325,403,337,228,361,651,136,1176,919,1603,814,1102,233,590,230,128,333,895,87,637,358,450,922,246,214,894,314,123,84,129,439,311,68,135,1084,264,25,102,142,168,113,254,482,852,304,81,77,339,409,81,161,101,439,323,388,358,273,511,153,64,87,165,114,139,629,225,668,121,100,284,390,1038,122,354,944,10,3155
지능범죄,직무유기,143,68,21,18,17,14,8,15,11,0,0,5,4,0,3,1,0,3,4,8,6,5,1,2,1,1,2,4,2,1,2,3,2,1,2,3,4,1,0,1,3,5,0,0,9,4,0,3,2,1,2,1,1,5,3,2,0,0,2,7,1,0,3,3,5,1,2,2,3,0,0,10,0,0,2,1,0,6,2,3,3,15,0,4,3,4,80
지능범죄,직권남용,201,52,21,17,18,14,8,14,9,5,2,1,1,3,1,0,0,5,5,16,4,4,1,10,0,5,2,5,1,3,1,5,11,0,3,5,5,2,0,0,2,13,1,1,10,5,1,2,0,1,1,0,4,1,4,1,2,2,8,3,1,1,6,5,2,2,0,5,4,4,4,4,0,1,0,2,0,4,2,1,5,18,3,3,9,3,63
지능범죄,증수뢰,60,18,6,7,6,7,8,1,4,1,2,1,0,1,2,1,0,4,4,7,2,1,1,1,0,1,1,1,1,2,2,0,2,1,1,2,1,0,0,1,0,0,0,0,3,2,1,0,0,1,0,1,1,4,6,1,0,2,2,0,0,2,4,2,0,0,2,0,2,0,0,1,2,0,1,0,1,1,2,1,0,7,1,1,1,0,44
지능범죄,통화,418,29,23,127,11,23,13,4,22,2,1,4,4,3,8,9,1,11,25,22,3,5,4,10,3,0,0,5,0,6,2,5,27,1,2,4,3,0,0,1,3,7,1,1,6,2,0,1,0,1,6,8,6,16,0,3,0,3,3,1,0,1,2,0,1,2,1,4,0,0,0,7,1,0,4,1,3,0,0,1,1,5,1,0,5,5,26
지능범죄,문서인장,2415,913,561,612,316,317,214,49,184,13,40,67,43,31,75,109,28,150,180,237,102,181,36,103,28,26,28,153,17,93,34,89,105,38,15,95,49,11,8,22,88,60,8,18,199,53,4,22,30,43,27,39,64,125,128,24,12,61,158,28,25,28,70,58,59,44,53,71,20,19,16,43,19,30,72,45,105,31,24,71,86,237,34,31,116,160,798
지능범죄,유가증권인지,56,11,5,8,1,2,1,1,7,0,0,1,0,0,1,1,0,1,1,2,0,2,0,3,0,1,0,4,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,2,2,6
지능범죄,사기,57563,26061,14852,16201,7654,9171,6786,1352,5489,228,1504,1669,1125,1180,2381,3030,698,6182,5429,8195,2727,4367,940,2785,911,603,949,4007,620,2549,1297,2707,4009,1121,1016,3494,1034,294,314,528,2158,1342,287,723,4646,1161,94,464,700,941,603,985,1436,4297,2075,366,398,1485,3423,474,577,436,1333,1204,1306,1032,2638,3413,614,267,393,861,507,513,3016,1397,4316,621,626,1899,1856,6456,1176,1143,3184,7522,15086
지능범죄,횡령,16963,3859,2595,4161,1556,1232,801,280,1743,101,309,280,229,210,479,598,91,1166,1221,1561,584,997,173,745,189,82,209,852,98,687,181,483,592,154,245,659,185,31,44,80,268,182,27,82,612,160,17,74,82,108,85,129,284,837,192,47,39,187,495,61,117,87,269,260,276,270,275,268,100,37,39,111,33,58,301,228,513,69,128,216,205,834,109,201,565,313,1953
지능범죄,배임,1038,346,134,167,72,96,101,19,78,8,18,32,12,12,23,27,9,56,64,69,26,40,12,36,18,8,10,97,10,30,13,32,53,20,9,54,16,10,1,8,36,13,2,9,29,13,1,12,6,18,12,13,14,85,16,8,5,19,39,9,11,9,15,18,27,8,8,28,9,4,3,6,2,11,28,19,49,11,10,20,32,88,19,21,63,60,744
풍속범죄,성풍속범죄,3834,946,580,896,303,412,210,48,224,11,69,59,51,64,54,108,13,203,297,431,104,229,46,164,41,24,60,198,36,134,43,74,96,27,48,146,37,7,12,22,78,51,3,19,208,38,2,12,16,25,19,11,53,168,53,10,6,41,144,20,23,17,44,35,46,68,44,88,24,8,14,31,16,11,65,41,86,11,13,39,57,209,22,39,154,164,438
풍속범죄,도박범죄,1059,827,417,495,167,126,321,18,129,17,32,97,16,20,82,52,13,111,169,312,53,103,18,139,22,11,17,77,11,64,28,37,58,30,41,67,11,11,5,15,138,108,4,11,105,27,5,15,8,23,13,12,44,50,112,11,14,35,107,11,15,12,48,24,44,79,22,62,26,10,8,50,11,10,82,48,60,10,4,13,35,95,27,25,76,332,629
특별경제범죄,특별경제범죄,12823,3877,2187,3227,1385,1233,951,158,1045,40,240,266,244,199,390,425,88,880,1122,1324,545,792,138,596,184,92,175,602,138,450,251,366,700,202,195,676,162,73,52,125,352,212,33,73,701,139,8,71,101,139,85,104,251,625,215,43,48,214,392,62,101,85,296,242,226,198,169,312,105,35,51,132,39,67,345,365,492,68,81,321,322,996,84,172,670,721,2219
마약범죄,마약범죄,1884,716,295,709,76,118,79,31,114,4,29,36,13,15,26,44,22,76,247,137,94,111,42,82,24,38,31,59,17,123,28,32,84,105,24,124,26,9,11,3,87,33,3,18,104,34,0,21,12,33,22,22,38,88,14,6,2,12,27,10,7,6,10,29,36,19,43,31,19,16,23,37,27,11,36,38,123,37,33,39,68,181,18,4,22,51,750
보건범죄,보건범죄,3424,1664,334,556,274,188,107,17,302,25,90,86,45,62,62,160,16,178,215,289,127,196,46,120,39,18,67,130,8,86,41,87,154,20,47,197,124,23,10,66,114,33,15,24,88,15,3,8,9,18,82,18,33,103,79,5,12,37,88,27,38,27,61,24,78,19,50,68,55,12,15,19,4,16,85,53,144,34,18,67,108,255,36,40,55,33,645
환경범죄,환경범죄,89,221,22,163,15,16,43,2,49,3,1,30,9,7,11,78,8,86,14,40,39,12,3,4,80,7,28,100,3,10,58,108,53,170,34,315,24,16,14,12,27,24,3,6,10,6,0,3,9,24,10,12,9,78,12,6,5,76,15,4,17,16,21,2,69,1,75,42,29,2,20,13,2,8,47,32,123,34,15,18,26,86,22,22,24,18,757
교통범죄,교통범죄,55273,20433,21012,17749,12747,11898,9708,1397,6506,511,2128,2920,1783,1045,3133,3936,709,5849,6724,9810,5403,6376,1823,2738,1980,1201,1878,5910,969,2776,2165,3133,6491,1811,1611,5792,1615,572,584,677,3135,2405,364,1210,7361,1984,111,978,764,1508,1059,1427,2219,5233,1981,761,560,2008,4350,798,1431,963,2576,2770,2740,1778,2660,3555,1228,541,794,1368,715,1146,4542,1984,4141,862,1016,3472,1773,6216,1262,1895,5147,184,29603
노동범죄,노동범죄,96,30,20,27,5,4,6,1,7,1,10,0,3,3,2,2,1,6,6,10,4,6,1,6,3,2,2,3,3,1,2,7,9,4,1,12,4,3,0,1,1,0,0,3,11,2,0,0,1,1,2,4,2,3,2,1,0,3,1,2,1,0,9,23,5,0,2,0,1,0,2,2,3,2,11,3,1,0,1,3,0,2,1,18,37,10,485
안보범죄,안보범죄,102,5,2,2,3,1,1,2,0,0,0,4,0,0,0,0,0,6,2,0,0,5,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,0,0,7,3
