"행정구역(시군구)별",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국",50948272,51141463,51327916,51529338,51696216,51778544,51826059,51849861,51829023,51638809,51439038,51325329
"서울특별시",10195318,10143645,10103233,10022181,9930616,9857426,9765623,9729107,9668465,9509458,9428372,9386034
"종로구",165207,160070,156993,154986,152737,154770,153065,151290,149384,144683,141379,139417
"중구",133360,130465,128065,125733,125249,125709,125725,126171,125240,122499,120437,121312
"용산구",243232,239740,235951,233342,230241,229161,228999,228670,230040,222953,218650,213151
"성동구",299604,299337,296086,297003,299259,304808,308221,300889,293556,285990,281000,277361
"광진구",371313,368927,363354,360369,357215,357703,355559,351350,346682,339996,337416,335554
"동대문구",363258,364273,363687,360153,355069,350647,348052,346194,342837,337400,336644,341149
"중랑구",419295,416798,418836,413909,411005,408226,403209,397015,394702,387350,385318,382155
"성북구",481857,476589,466706,459275,450355,444055,435868,442650,437153,430528,430397,425602
"강북구",343157,338707,335025,330873,327195,324479,319164,313954,308055,299182,293660,288113
"도봉구",362270,358582,353709,351242,348220,344166,339413,333362,325257,317366,311694,306948
"노원구",597189,590479,582552,574583,567581,554403,543752,532905,523037,510956,503734,498213
"은평구",501480,503660,498644,497920,491476,486794,483197,480032,479835,473307,466746,466770
"서대문구",315113,314110,310376,312141,314194,312800,310313,309397,312173,304819,306337,306231
"마포구",384644,381856,385439,387643,379892,374915,375077,374035,371890,368905,364638,363697
"양천구",495911,492528,486221,484532,477739,471154,464185,458165,454251,447302,440881,436028
"강서구",567431,569070,585160,589074,595485,601691,596949,591796,580185,574315,569166,563058
"구로구",427520,424964,425831,422092,417551,410742,404497,406664,404408,396754,395315,392405
"금천구",243288,241020,238463,236284,235386,235154,233917,232810,231733,230811,229642,227481
"영등포구",391408,386471,382352,378504,370613,368550,367778,367678,379480,376837,375675,374794
"동작구",405491,410815,407470,400641,400997,396217,396203,395963,391220,385483,380596,378769
"관악구",523029,518028,513186,509663,506851,503297,501957,500094,495060,485699,486752,481956
"서초구",435044,441763,449678,446764,447192,441102,433951,430826,425126,412279,404325,407664
"강남구",564197,563599,578114,576495,567115,556164,542364,545169,539231,533042,529102,544873
"송파구",673115,668415,664738,660302,657831,664496,666635,675961,667960,658338,658801,654166
"강동구",487905,483379,476597,458658,444168,436223,427573,436067,459970,462664,460067,459167
